Question,Topic,Subtopic,Option 1,Option 2,Option 3,Option 4,Correct Answer
"MLO Lindy spoke with an appraiser about 321 Treetop Lane, to which the appraiser was due to go that day. The appraiser was unfamiliar with the area and asked what the property was near. Which of the following is an ethical response?",Ethics,Ethical Behavior Related to Loan Origination Activities,“Treetop is across from the mall. They’re very affluent on that street.”,“Treetop is in an area that’s seeing a lot of properties being renovated.”,"“Treetop is near 5th and Main, close to the stadium.”",“Treetop is near the rundown part of the city.”,0
What is a loan’s APR?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),"A percentage showing the annual cost of a loan to the borrower, including interest",The interest rate charged before any points are added,The interest rate upon which monthly payments and amortization is calculated,The percentage of interest charged over the life of the loan,0
"The daily property tax rate is $1.23 and closing is February 1. Assume the buyer owns the property on closing day, and the seller hasn’t made any payments. What will the seller owe at closing using the calendar year proration method?",Mortgage Loan Origination Activities,Financial Calculations,36.9,37.41,38.13,39.36,0
"Mack is a loan processor. A borrower handed him his filled-out mortgage loan application but said that he had a couple of questions he needed help answering and had a question about the interest rate. Which of the following, if any, may Mack do?",Ethics,Ethical Issues,Accept the application.,Accept the application and negotiate the interest rate.,"Accept the application, answer questions, and fill in the blanks.","Accept the application, answer questions, and negotiate the interest rate.",0
"A homebuyer is trying to secure a higher-priced mortgage loan, and two appraisals of the property will be required. A different licensed appraiser was hired to perform each appraisal. The first appraiser conducted a drive-by appraisal, while the second appraiser inspected the house’s interior as well as the exterior. Have federal regulatory requirements been satisfied? Why or why not?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),No. Both appraisals must be carried out by the same certified or licensed appraiser.,No. Each of the appraisers is required to conduct a physical visit to the interior of the house.,Yes. Federal regulations state that one of the required appraisals must only involve the property’s exterior.,Yes. Two different appraisers have been hired to carry out the appraisals as required by Regulation Z.,0
What is the applicable tolerance threshold when a borrower shops for lender's title insurance and chooses a provider listed on the creditor's preferred provider list?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,10% tolerance threshold,It depends on certain factors.,No tolerance threshold,Zero tolerance threshold,0
"The SAFE Act is intended to help consumers when working with professionals, providing some assurance that _______ are honest and competent.",Uniform State Content,SAFE Act,Appraisers,Mortgage loan originators,Property inspectors,Real estate professionals,0
"A consumer is purchasing a home for $400,000. The property appraised at $415,000 and the consumer is financing $300,000. What's the loan-to-value ratio?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,0.72,0.75,0.82,0.96,0
"As a loan originator, which one of the following acts is permissible?",Uniform State Content,Compliance,Divulging login IDs or passwords,Engaging in disturbing or interfering conduct,Seeking outside assistance to complete the NMLS course,Understanding the SAFE Act and state laws,0
Mortgage Company Z receives referrals from Real Estate Company Y. The companies are affiliated businesses because the real estate company owns a 25% portion of the mortgage company. Which of the following statements is true?,Ethics,Ethical Issues,Referrals between these companies are permitted with proper disclosure.,Referrals between these companies are prohibited.,Referrals may only be passed from the mortgage company to the real estate company.,Referrals may only be passed from the real estate company to the mortgage company.,0
Which two forms are required by TRID rules to be used in all lender-financed residential closings?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Good Faith Estimate and Loan Estimate,Good Faith Estimate and Truth in Lending,Loan Estimate and Closing Disclosure,Loan Estimate and Truth in Lending,0
Which of these borrowers would benefit the most by receiving lender credits?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,"Anne, who has very little money to put down, but expects her salary to increase soon.","Dani, who is paying several discount points to keep his interest rate below a certain level.","Sultan, who received his down payment as a gift from his brother, and who is obtaining an FHA loan.","Talia and Ronan, who are first-time buyers and have saved enough money to put 23% down.",0
At what stage of the loan transaction are title insurance fees due?,Mortgage Loan Origination Activities,Closing,Closing,Loan application submission,Recording of title,Underwriting,0
"A seller has prepaid July HOA fees of $60. If closing is on July 21 and the seller owns the property on closing day, how much will the buyer owe for the HOA fees at closing? Use a statutory year proration method.",Mortgage Loan Origination Activities,Financial Calculations,18,19.35,40,40.65,0
"A buyer puts 18% down on a property, which ends up being $53,100. How much is the purchase price for the property?",Mortgage Loan Origination Activities,Financial Calculations,295000,453250,95580,955800,0
"If a buyer purchases a property for $500,000 and his loan-to-value ratio is 90%, how much is the buyer financing?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,40000,400000,450000,50000,0
"Joan is working on a loan application for her consumers. They’ve disclosed they recently purchased a new car, but the payments aren’t showing up on their credit report yet. Joan does not include the amount on their application. What has Joan done wrong?",Uniform State Content,Compliance,Omitted debt not on a credit report.,Paid for the real estate agent’s ads.,Used bait-and-switch advertising.,Used her supervisor's NMLS UI.,0
"A borrower’s annual property taxes are $1,295, and her annual insurance premium is $942. How much of her monthly mortgage payment goes toward taxes and insurance?",Mortgage Loan Origination Activities,Financial Calculations,107.91,186.42,232.12,78.5,0
What does it mean for an MLO to use proper designations for mortgage products?,Ethics,Ethical Issues,The MLO must select loan products that best fit a consumer’s financial standing.,The MLO must use the same simplistic language to describe all loan products.,"The words the MLO uses must be creative, engaging, and concise to draw in consumers.","The words the MLO uses must reflect a true and clear representation of the loan product, its terms, and the property type.",0
An MLO quotes higher interest rates to Spanish-speaking loan applicants seeking home loans in majority-Latinx areas. What type of discrimination is this?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Disparate impact,Disparate treatment,Overt discrimination,Overt impact,0
"When working with residential loan transactions, which one of the following professionals does NOT need to be licensed?",Uniform State Content,License Law and Regulation,Brokers,Lenders,MLOs,Underwriters,0
"While reading the Liability After Foreclosure section of the CD, a borrower learns that state law might protect her from liability for the unpaid balance on her loan in the event of foreclosure. Whom should the borrower ask if she has more questions on this subject?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),An attorney,A settlement agent,Her mortgage broker,Her real estate broker,0
A conventional loan must conform to guidelines set by ______.,General Mortgage Knowledge,Qualified and Non-Qualified Mortgage Programs,Fannie Mae or Freddie Mac,FHA,HUD,The USDA,0
Defects are discovered during a title search. Who is responsible for resolving those defects?,Mortgage Loan Origination Activities,Closing,The buyer,The lawyer,The owner (seller),The real estate professional,0
"MLO Tara is preparing a presentation on the identity theft rules for the company's new MLOs. Per the identity theft rules, how many identity theft red-flag categories are there?",Ethics,Ethical Issues,Five,Seven,Ten,Three,0
Which one of the following best describes an assumable loan?,Uniform State Content,Compliance,A borrower borrows against the equity in the house and pays back the amount withdrawn plus interest.,"A borrower can pick up paying the mortgage where the seller left off, assuming the buyer qualifies for the loan.",A borrower will have to repay the entire home balance in seven years.,A veteran can obtain the loan with no down payment and no private mortgage insurance requirement.,0
Barbara submitted a mortgage loan application. Which of the following must she receive within three business days of submitting her application?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Closing Disclosure,Lender approval,Loan Estimate,Underwriter approval,0
What is the NMLS?,Uniform State Content,State Mortgage Regulatory Agencies,The National Mortgage Licensing System is a recording system for non-depository financial services licensing or registration by participating state agencies.,The Nationwide Mandatory Licensing System is the recording system for depository financial services licensing and registration by participating countries.,The Nationwide Mortgage Licensing System is the recording system for depository real estate licensing and registration by federal agencies.,The Nationwide Multistate Licensing System is the recording system for non-depository financial services licensing and registration by participating state agencies.,0
Which one of the following items should be included in a section of the CD other than Prepaids?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Homeowner’s insurance premiums,Mortgage insurance premiums,Past-due real estate property taxes,Taxes and other government fees,0
TRID rules apply to which one of the following types of mortgage loans?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),HELOCs,Loans secured by a dwelling not attached to real property,Refinances,Reverse mortgages,0
Items of value that the borrower owns are listed in the ______ section of the loan application.,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Assets,Income,Liabilities,Net worth,0
One of the primary purposes of the USA PATRIOT Act is to require financial institutions to ______.,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Offer low interest rates to all consumers,Sell mortgages on the secondary market,Turn in suspected terrorists,Use an automated underwriting system,0
"A homeowner contacted a lender after seeing an advertisement about refinancing mortgage loans. The ad used an official-looking logo that implied it was a special government program. The homeowner later learned that a private lender, not a government entity, refinanced his loan. What type of misrepresentation was this?",Ethics,Ethical Issues,Ability to refinance or modify,Debt reduction,Default potential,Product association,0
The SAFE Act was enacted in ______.,Uniform State Content,SAFE Act,1978,1999,2008,2014,0
Borrowers must receive the _____ from the lender within three days of submitting a completed loan application.,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Closing Disclosure,Escrow funds,Loan Estimate,USPAP,0
Which one of the following is a true statement about the mortgage industry?,Uniform State Content,State Mortgage Regulatory Agencies,Federal regulatory agencies and state regulatory agencies work in conjunction with one another to enforce applicable laws.,Federal regulatory agencies and state regulatory agencies work independently from one another.,Local jurisdictions are solely responsible for monitoring the mortgage industry and enforcing laws and regulations.,State regulatory agencies are the only entities that enforce the mortgage industry.,0
"Which HUD program helps very low-income families, older people, and people with disabilities afford decent, safe, and sanitary housing in the private market?",Federal Mortgage-Related Laws,Regulatory Authority,FHA Program,Housing Choice Voucher Program,Office of Fair Housing and Equal Opportunity,Safe Haven Housing Incentive,0
Which of the following loan types is exempt from the requirement to provide an LE?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,A 15-year conventional loan,A 30-year fixed loan,An adjustable-rate home mortgage equity plan,A VA loan,0
For what reason may an MLO request a loan applicant’s credit report?,Ethics,Ethical Behavior Related to Loan Origination Activities,An MLO may not request a loan applicant’s credit report for any reason.,To check applicant credit and to confirm suspicions about an applicant’s honesty.,To check the applicant’s credit report specific to the loan application.,To process a loan for a sale property that’s secured by a down payment.,0
Which one of the following could be considered a high-cost mortgage loan?,Federal Mortgage-Related Laws,Truth in Lending Act (TILA),"A $40,000 loan that has an APR that is 8.5 percentage points higher than the average prime offer rate and is secured by an RV.",A first-lien transaction that has an APR six percentage points higher than the average prime offer rate.,A junior-lien transaction that has an APR eight percentage points higher than the average prime offer rate.,A transaction that has an APR four percentage points higher than the average prime offer rate.,0
Which of the following is a MLO prohibited from doing mortgage loan appraisals?,Uniform State Content,SAFE Act,Asking an appraiser to consider additional property details,Communicating with the appraiser to supply additional detail or explanation for the appraiser’s valuation,Encouraging a more favorable valuation by offering compensation,Request an appraisal report error correction to comply with appraisal standards.,0
"On the HUD-1 statement, what's the term for an amount that shows up in the party’s favor?",Mortgage Loan Origination Activities,Closing,Balance,Credit,Debit,Mortgage,0
A borrower plans to shop around for his mortgage loan to be sure he's getting the best interest rate and terms. What lender-provided document outlines loan rates and fees so he can make comparisons?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),The buyer's net sheet provides all the figures necessary for comparing loan products.,The Closing Disclosure discloses all loan costs so he can compare costs between lenders.,The Loan Estimate permits the borrower to comparison shop.,The settlement statement details all closing costs so he can use it to compare lender loan products.,0
Which of these is the best definition of a purchase money second mortgage?,General Mortgage Knowledge,Mortgage Loan Products,A loan offered by a lender or the seller that borrowers often use to avoid paying mortgage insurance,A loan that is always seller-financed and which helps borrowers avoid federal loan documentation requirements,"A mortgage with a lower-than-market interest rate, offered to buyers with exceptional credit",A second mortgage that allows homeowners to borrow money against the equity in their homes,0
A mortgage must have a loan term of ______ to be considered as a qualified mortgage.,General Mortgage Knowledge,Qualified and Non-Qualified Mortgage Programs,25 years or more,30 years or less,35 years or less,Less than 15 years,0
"Under the “Late Payment” heading of a LE, there is a statement that if 10 days pass after a payment is due, a $300 charge will apply. Does this statement conform to federal regulations? Why or why not?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),No. Late charges expressed as a dollar amount are capped at $250.,No. The late charge must be expressed as a percentage.,Yes. This statement defines the late charge as a dollar amount and when it’s due.,Yes. This statement satisfies all aspects of the relevant regulation.,0
Which of the following is a true statement about the Homeownership Counseling Disclosure?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,It discloses required counseling for all buyers at their own expense.,It is optional for reverse mortgages and high-cost loans.,It requires all federally related loan applicants to receive a list of housing counselors.,Twenty counseling agencies must be listed on the disclosure.,0
An ARM’s starting interest rate is 2.8% and the loan has a cap structure of 1/2/5. What is the maximum possible interest rate for the entire loan term?,Mortgage Loan Origination Activities,Financial Calculations,0.038,0.048,0.058,0.078,0
"Qualified mortgages have a limit on upfront points and fees. Assuming a loan amount of $200,000 or more, the points can’t exceed ______ of the total loan amount.",General Mortgage Knowledge,Terms Used in the Mortgage Industry,0.02,0.03,0.04,0.05,0
Which of the following statements is true about the use of a unique identifier number?,Uniform State Content,License Law and Regulation,All loan originators are required to obtain a unique identifier and use their number on all their mortgage loan-related documents.,All loan originators who fail the exam twice are required to obtain a unique identifier and use it on all correspondence.,Broker managers may waive the requirement for loan originators to obtain a unique identifier.,Consumers may use loan originators who choose not to obtain a unique identifier.,0
What portion of the MCR needs to be filed with the NMLS only once a year in Oregon?,Uniform State Content,SAFE Act,Expanded FC,Expanded RMLA,Standard FC,Standard RMLA,0
How many rules does the Gramm-Leach-Bliley Act have for financial institutions and consumer information privacy?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Five,Four,Six,Three,0
Who pays for flood insurance?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,FEMA,The borrower,The lender,The title insurance company,0
RESPA prohibits kickbacks between _____.,Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),Construction contractors,Lenders,Referral parties,Settlement service providers,0
"Under Maryland law, what is the lender’s responsibility if they take adverse action based on information from a credit report?",Uniform State Content,SAFE Act,The lender must automatically review the application for reconsideration.,The lender must offer counseling services to help improve the borrower’s credit.,The lender must provide info on getting a free credit report and the agency's contact details.,The lender must provide the borrower with a summary of the credit report.,0
"You're working with a buyer who's purchasing a home that appraised at $80,000. The buyer is obtaining a 90% loan, and the lender will charge a one-point origination fee at closing. How much will the loan origination fee be?",Mortgage Loan Origination Activities,Closing,712,720,728,800,0
"Outside of licensing requirements, what distinguishes an MLO from someone who’s not an MLO?",Ethics,Ethical Behavior Related to Loan Origination Activities,An MLO expects compensation for performing loan origination activities.,An MLO provides items of value for loan origination-related referrals.,An MLO receives compensation for giving referrals as part of loan origination activities.,An MLO splits fees with settlement service providers for prospective borrowers’ names.,0
What does the NMLS UI allow consumers to track?,Uniform State Content,State Mortgage Regulatory Agencies,An MLO’s history and qualifications,An MLO’s home purchase history,An MLO’s monthly spend amount,An MLO’s tax records,0
"The recording fees listed on David’s LE are $500, but on his CD, they’re listed as $800, and the total for all fees subsequently increased by 25%. What statement is true about this scenario?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Recording fees are at a zero tolerance.,There is no limit on recording fees.,This is more than the 10% tolerance threshold.,This rate may increase without causing any issues.,0
How is employment verification performed?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Contacting the borrower’s employer,Receiving a notarized document from the borrower,Relying on the borrower’s credit report,Viewing the borrower’s last mortgage/rental payment,0
Which one of the following best describes an HPML?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,"Any first or second mortgage that exceeds $450,000",Any loan for which the lender charges points and fees that exceed certain established limits,Any loan prohibited by the Home Ownership Security Act,Any mortgage that exceeds 90% of the property’s assessed value,0
What’s the definition of identity theft according to the FTC?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Hyphenating two different last names on documents,Imitating another person’s physical traits and mannerisms,Possessing the skills and capabilities necessary to defraud mortgage lenders,Using someone else’s personal or financial information without permission,0
For how many years must lenders maintain records of all compensation paid out to loan originators?,Uniform State Content,Compliance,Five years,Nine years,Seven years,Three years,0
"Per ______, certain disclosures must be included in advertising for available financing, including a trigger term, such as the down payment amount.",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Equal Credit Opportunity Act,Fair Credit Report Act,Real Estate Settlement Procedures Act,Truth in Lending Act’s Regulation Z,0
"Despite the lender doing everything possible to close, a mortgage loan doesn’t close before the lock-in agreement expiration date. What options are available for the borrower in this case?",General Mortgage Knowledge,Terms Used in the Mortgage Industry,"Because closing was delayed through no fault of the broker, the borrower cannot rescind the agreement.",The borrower may sue the lender for breach of contract.,The borrower may withdraw the loan application and receive a refund for any lock-in fees paid.,"The borrower may withdraw the loan application, but will not receive reimbursement for any fees.",0
"At the end of the term for a balloon mortgage, which type of payment is made?",General Mortgage Knowledge,Terms Used in the Mortgage Industry,Amortized,Interest-only,Lump sum,Tax-free,0
"Edna has been notified by her creditor that her loan application was incomplete. Fortunately, she’ll be able to supply all of the missing information. How much time is the creditor required to give Edna to complete her application?",Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),30 days,90 days,An amount of time negotiated between Edna and the creditor,A reasonable amount of time designated by the creditor,0
An MLO moves to a different state and decides to work for a local company in his new area. What action must take place?,Uniform State Content,License Law and Regulation,His new employer must contact NMLS to request a record change.,"His state regulatory agency must provide written approval of the change, and then the NMLS record must be updated.",The CFPB must be notified about the employment change by the MLO.,"The MLO or his employer must update his sponsorship in NMLS records and, in states that require it, provide direct notification of the sponsorship change directly to the state.",0
Which of the following is NOT true regarding an FHA loan as compared to conventional financing?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,Down payment requirements are lower.,Interest rates are lower.,Loan amounts are higher.,The required mortgage insurance isn’t required for the life of the loan.,0
"A CD will contain an itemization of services the borrower did not shop for, as well as services the borrower did shop for. Where would this information be located in relation to the terms of the loan?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),"Anywhere, depending on how the lender arranges the form",On a later page than the terms of the loan,On an earlier page than the terms of the loan,On the same page as the terms of the loan,0
"Abby, a loan applicant, has been given an LE. The section on late charges consists of a statement that late charges will apply 15 days after a payment is due. What else should this section of the LE include?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Acceptable methods of payment for both on-time and late payments,"The amount of the late payment, expressed as a dollar amount or a percentage",The amount that will be due after the late charge is added to the payment,The date after which late charges will no longer apply because the loan is paid off,0
Your borrowers selected an interest-only feature for their mortgage loan. How does this affect their monthly payments?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,"Over time, more of the payment goes toward the principal and less toward the interest.",The borrowers may make payments whenever they want.,The borrowers only pay interest for a specific amount of time.,The borrowers pay a constant amount made up of principal and interest.,0
"Per the GLBA, gaining a customer’s financial information under false pretenses is referred to as ______.",Ethics,Ethical Behavior Related to Loan Origination Activities,Phishing,Pretensing,Pretexting,Preying,0
Enacting the Dodd-Frank Act led to all of the following except for which one?,Federal Mortgage-Related Laws,Regulatory Authority,Creation of the Qualified Mortgage Rule,Requiring financial customer verification programs,The creation of the CFPB,The development of TRID,0
"Which of the following is a red-flag category that may share identity theft red flags through alerts, notifications, or warnings, such as a credit freeze notice?",Ethics,Ethical Issues,Banking criminal divisions,Consumer protection agencies,Consumer reporting agencies,Fair lending divisions,0
Your borrower wants to know what has the greatest impact on his credit score. What should you tell him?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,The factors that have the greatest weight on your credit score are your length of credit history and your new credit accounts.,The factors that have the greatest weight on your credit score are your new credit accounts and the types of credit you use.,The factors that have the greatest weight on your credit score are your payment history and amounts owed.,The factors that have the greatest weight on your credit score are your payment history and your new credit accounts.,0
Which of the following makes up a good portion of an MLO’s job?,Ethics,Ethical Behavior Related to Loan Origination Activities,Attending borrowers’ home closings,Cleaning up borrowers’ credit,Delivering customer service,Networking with colleagues,0
The TILA-RESPA Integrated Disclosures use _____.,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Complex legal jargon,Language understood only by mortgage brokers,Plain language,Technical terminology,0
"According to RESPA, what are settlement services?",Federal Mortgage-Related Laws,Real Estate Settlement Procedures Act (RESPA),Any services provided in connection with a prospective or actual settlement,Any services provided to the title company to ensure a successful closing,Only services provided as a result of an actual settlement,Services provided by an MLO to a client at closing,0
Which of these statements is true about a qualified mortgage?,General Mortgage Knowledge,Terms Used in the Mortgage Industry,It is offered by a credit union.,It is offered by a savings and loan institution.,It is one in which the borrower is qualified.,It meets CFPB guidelines.,0
What was the main purpose of the amendments to TILA and RESPA?,Federal Mortgage-Related Laws,TILA-RESPA Integrated Disclosure Rule (TRID),Enforce the use of the existing forms.,Make it simpler to understand loan terms.,Spruce up the existing disclosure forms.,Use legal terms as the language in the four required disclosure forms.,0
An MLO applicant received notice that his application was denied. What was the most likely reason?,Uniform State Content,License Law and Regulation,The applicant had a felony conviction within the last seven years.,The applicant had too much experience.,The applicant needed to take more CE.,The applicant reported an act of harassment against an authority figure.,0
"Before closing a mortgage loan, which of the following must the lender provide to the borrower to confirm the lender’s commitment to fulfill the loan’s terms?",Uniform State Content,Compliance,A cease and desist order,A lock-in agreement,An invoice for services rendered,A purchase and sale agreement,0
"Carlos, who served in the Air Force, is applying for a VA housing loan. When he receives his LE, he sees that he will be liable for a late charge of 5% of the monthly principal and interest payment if his payment is late by more than 15 days. Why is this statement problematic?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Late charges must be expressed as a dollar amount.,Late charges on VA loans are a minimum of 6%.,Late charges on VA loans are capped at 4%.,Payments on VA loans are considered delinquent after 10 days.,0
Which type of insurance must a borrower obtain if a mortgage is involved?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Auto insurance,Homeowners fire and hazard insurance,Life and casualty insurance,Medical insurance,0
"Assuming a 0.5% PMI rate on a $225,000 loan, how much would the borrower be required to pay monthly?",General Mortgage Knowledge,Qualified and Non-Qualified Mortgage Programs,1125,68.25,89.32,93.75,0
Which of the following is true about loan origination systems?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,All communications are handled in person.,Consumers must manage their documents using paper.,The systems manually move to the next underwriting task.,They are used to track loan applications and automate tasks.,0
The ______ is most commonly used to process loan applications.,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,Constant Domestic Mortgage Application,Static Residential Mortgage Application,Uniform Domestic Loan Application,Uniform Residential Loan Application,0
"According to Regulation Z, MLOs may be compensated based on which loan characteristic?",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),The loan amount,The loan’s interest rate,The term of the loan,The type of loan program,0
"According to the FCC, who or which entity may call a person who’s listed on the national Do Not Call Registry?",Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,A business that has established a business relationship with the person,Mortgage lenders approved by the FCC,Out-of-state financial institutions,Telemarketers,0
"A consumer refinanced her home with a 10-year loan of $18,000. Her interest rate is 2.125%. How much will the consumer’s monthly interest payment be?",Mortgage Loan Origination Activities,Financial Calculations,31.88,382.5,3.83,459,0
Patrick’s clients have had two revised LEs. When must they receive the final LE?,Mortgage Loan Origination Activities,Loan Inquiry and Application Process Requirements,At any time,At least four business days before closing,At least three business days after the changes occurred,At least two business days before closing,0
"When a loan application is rejected, which one of the following does NOT occur?",Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,An ECOA notice must accompany the rejection.,Creditors must provide notice within 30 days from the date a complete application was delivered to the underwriters.,Specific reasons for rejection must be provided.,The notice must be verbal with a direct call from the underwriter processing the loan.,0
Regulation B defines “elderly” consumers as those over the age of _____.,Federal Mortgage-Related Laws,Equal Credit Opportunity Act (ECOA),45 years,55 years,62 years,68 years,0
An appraiser received a job to appraise a property located in the same city where her personal home is located. Does a conflict of interest exist if she conducts the appraisal?,Ethics,Ethical Issues,"No, there’s no conflict unless she’s appraising her own home.","No, unless she has a personal or business relationship with the seller or buyer of the property, there’s no conflict of interest.","Yes, if she does any appraisals in the same city or zip code where she lives, she has a personal interest.","Yes, if she lives in the same city, she has a personal interest.",0
Which one of the following agencies enforces the Fair Housing Act?,Federal Mortgage-Related Laws,Other Federal Laws and Guidelines,Equal Financing Opportunity Commission,Office of Fair Housing and Equal Opportunity,The Division of Banking and Finance,The Federal Trade Commission,0
Under which of these circumstances might a lender require a borrower to purchase private mortgage insurance?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,The borrower is able to put at least 25% down on a conventional loan.,The borrower is applying for a Federal Housing Administration mortgage.,The borrower is unable to put at least 20% down on a conventional loan.,The borrower wants a lower interest rate.,0
"Several real estate agents and title companies refer customers to MLO Larry. He’s grateful for the business, so he sends them a $25 gift card for a local sandwich shop as a way of saying thanks. Is there an ethical issue here?",Ethics,Ethical Issues,"No, it’s required for professionals to provide some form of appreciation in exchange for business.","No, this is a recommended professional tactic for keeping business coming your way.","Yes, because he doesn’t give gift cards to agents and companies who don’t give him business.","Yes, giving a gift card in this scenario is a RESPA violation.",0
Are borrowers required to sign the Borrower’s Signature Authorization form?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,"No, they don’t have to sign and will be automatically approved.","No, they don’t have to sign but risk not being approved.","Yes, lenders may force all borrowers to sign the form.","Yes, they are legally required to sign the form.",0
"In a typical transaction, which of these title defects is unlikely to cause a problem for the buyer?",Mortgage Loan Origination Activities,Closing,A faulty survey,An unrecorded lien,A past error in recording title transfer,The seller’s existing mortgage,0
Which of the following may be used as a guiding principle for creating compliant advertising?,Ethics,Ethical Issues,Do what it takes to get consumers to call.,Employ truth in advertising.,Hold off on the fine-print details.,Put the loan’s best terms in print only.,0
Credit scoring measures the likelihood that a borrower will ______ a loan.,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Assume,Borrow against,Default on,Refinance,0
What does the Loan Originator Compensation Rule do?,Ethics,Ethical Issues,Permits incentivizing MLOs to give borrowers costlier loan options.,Permits MLOs to offer loans that benefit the lender.,Prohibits incentivizing MLOs to steer borrowers to costlier loans.,Prohibits MLOs from earning compensation for loan origination activities.,0
Why would a lender have a title policy?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,Because it purchases properties on the secondary market and needs to insure them,So it can charge the borrower more fees,To protect its investment on a loan it has extended on a property,To protect private property that it has purchased,0
What should loan providers do to prevent risks associated with nontraditional mortgage loans?,General Mortgage Knowledge,Qualified and Non-Qualified Mortgage Programs,Cease all loan originations that involve nontraditional lending.,"Develop and implement policies for nontraditional mortgage lending activities, risk layering, and policy exception tolerances.",Rely on mortgage loan originators to make themselves aware of all regulations.,Require mortgage loan originators to keep a tracking journal of all activities as proof that they haven’t violated regulations.,0
Which of the following entities is required to license its MLOs?,Uniform State Content,License Law and Regulation,A federal bank,A federal credit union,A mortgage lending company,An industrial loan bank,0
"A borrower will be traveling for work the same day that the loan is due to close, so she can’t be there to sign documents in person. Which of the following statements related to power of attorney is true?",Ethics,Ethical Behavior Related to Loan Origination Activities,The borrower must cancel the business trip.,The borrower must have the lender’s approval to use a power of attorney.,The borrower’s real estate agent may sign loan documents on the borrower’s behalf.,The MLO may sign loan documents on the borrower’s behalf.,0
Which of the following procedures should brokers follow to ensure the integrity of a client’s escrow account?,Uniform State Content,License Law and Regulation,Balance the escrow fund account and account for any discrepancies.,Deposit escrow funds in the first week of the month.,Disburse all escrow funds by the last day of the month.,Use interest from the escrow account to cover business expenses.,0
A Pennsylvania MLO submitted their renewal license application last month but recently learned it was denied. What is the most likely reason?,Uniform State Content,License Law and Regulation,Completing the necessary continuing education requirements,Consenting to a background check,Having a current criminal conviction on their record,Providing their fingerprints,0
"The Consumer Credit Protection Act, which includes the Truth in Lending Act, is often referred to as _______.",Federal Mortgage-Related Laws,Truth in Lending Act (TILA),Regulation B,Regulation C,Regulation X,Regulation Z,0
Lenders generally require private mortgage insurance for conventional loans in which the loan-to-value ratio is in excess of a certain percentage. What's this percentage?,Mortgage Loan Origination Activities,Qualification: Processing and Underwriting,0.75,0.8,0.85,0.9,0
